"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\.eslintrc.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 32
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\README.md", "Markdown", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\package-lock.json", "JSON", 0, 1891, 0, 0, 0, 1, 1892
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\package.json", "JSON", 0, 29, 0, 0, 0, 1, 30
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\Commands.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\delete.ts", "TypeScript", 0, 0, 31, 0, 0, 4, 35
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\download.ts", "TypeScript", 0, 0, 215, 0, 1, 12, 228
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\join.ts", "TypeScript", 0, 0, 52, 0, 0, 3, 55
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\leave.ts", "TypeScript", 0, 0, 19, 0, 0, 2, 21
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\list.ts", "TypeScript", 0, 0, 84, 0, 0, 5, 89
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\play.ts", "TypeScript", 0, 0, 57, 0, 0, 5, 62
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\commands\rickroll.ts", "TypeScript", 0, 0, 32, 0, 0, 4, 36
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\index.ts", "TypeScript", 0, 0, 38, 0, 0, 8, 46
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\src\util.ts", "TypeScript", 0, 0, 87, 0, 0, 15, 102
"c:\Users\Ed\Documents\Programming\Javascript\PlaylistDJ\tsconfig.json", "JSON with Comments", 33, 0, 0, 0, 0, 0, 33
"Total", "-", 65, 1920, 628, 2, 1, 62, 2678
